Date,Open,High,Low,Close,Adj Close,Volume
20-06-2023,335.320007,335.380005,329.230011,330.720001,323.024689,3208100
21-06-2023,328.450012,330,324.920013,325.070007,317.506165,2158700
22-06-2023,323.690002,324.26001,319.01001,319.579987,312.14389,2409100
23-06-2023,316.559998,317.709991,314.070007,314.709991,307.387238,2609200
26-06-2023,315.130005,316.640015,312.170013,312.359985,305.091888,2481000
27-06-2023,312.410004,315.679993,310.559998,313.450012,306.156555,2156800
28-06-2023,311.720001,314.899994,310.690002,313.660004,306.361664,2423500
29-06-2023,317.850006,325.5,316.25,323.089996,315.572235,3553600
30-06-2023,325.820007,326.029999,322.450012,322.540009,315.035034,2361200
03-07-2023,322.410004,329.399994,322.410004,326.609985,319.010315,1106800
05-07-2023,323.950012,324.609985,319.630005,320.049988,312.602997,2561000
06-07-2023,318,318.640015,312.839996,313,305.71701,2896900
07-07-2023,313.200012,317.369995,312.700012,315.170013,307.836548,2901200
10-07-2023,316.670013,320.079987,316,316.470001,309.106262,1775800
11-07-2023,318.829987,321.040009,314.579987,320.880005,313.413666,2042600
12-07-2023,324.579987,333.350006,324.25,326.399994,318.805206,2741300
13-07-2023,327.350006,329.279999,325.690002,328.679993,321.032196,2787800
14-07-2023,331.98999,332.480011,325.019989,326.190002,318.600098,1814800
17-07-2023,325.890015,327.48999,324.359985,327.200012,319.586639,1777400
18-07-2023,327.299988,338.25,327.299988,337.269989,329.422272,3899100
19-07-2023,338,345.880005,331.299988,340.549988,332.625977,6037400
20-07-2023,339.160004,351.679993,339.160004,350.859985,342.696045,3915000
21-07-2023,351.779999,355.079987,346.779999,351.959991,343.770508,3216300
24-07-2023,352.829987,361.619995,352,358.929993,350.578308,3517500
25-07-2023,357.420013,360.820007,353.980011,354.700012,346.446747,2893000
26-07-2023,354.48999,360.26001,354.279999,357.559998,349.240173,2281600
27-07-2023,358.130005,360.540009,354.170013,354.51001,346.261169,2010800
28-07-2023,356.109985,356.5,351.609985,353.230011,345.010956,1827400
31-07-2023,354.880005,357.200012,354.019989,355.869995,347.589478,1385500
01-08-2023,354,357.869995,353.390015,357.720001,349.396454,2024300
02-08-2023,354.98999,354.98999,348.869995,351.100006,342.930481,2106600
03-08-2023,349.98999,355.209991,348.619995,353.160004,344.942566,1840400
04-08-2023,353.339996,358.730011,352.51001,353.220001,345.00119,1724700
07-08-2023,355.399994,357.670013,353.920013,355.559998,347.286713,1260300
08-08-2023,351.700012,352,342.029999,348.26001,340.156586,1917300
09-08-2023,346.820007,348.459991,342.48999,342.690002,334.716217,1326000
10-08-2023,344.070007,347.26001,339.799988,340.399994,332.479462,1345900
11-08-2023,339.929993,341.790009,337.549988,340.730011,332.801819,1256800
14-08-2023,337.410004,338.450012,334.859985,337.73999,329.881378,1347000
15-08-2023,333.299988,334.029999,330.480011,332.209991,324.480072,1657800
16-08-2023,330.540009,332.920013,328.970001,329.109985,321.452148,3340300
17-08-2023,330,333.98999,324,327.519989,319.899139,3135200
18-08-2023,324.320007,327.619995,323.200012,324.929993,317.369385,1730100
21-08-2023,325.390015,326.390015,319.390015,322.059998,314.566193,1983500
22-08-2023,322.480011,322.640015,318.309998,318.790009,311.372314,1810300
23-08-2023,320.619995,322.450012,318,322.329987,314.829895,1429000
24-08-2023,322.149994,327.48999,319.51001,319.959991,312.515076,1185600
25-08-2023,320.799988,322.720001,318.190002,320.149994,312.700653,1159600
28-08-2023,321.339996,326.600006,321.339996,325.970001,318.385254,1440100
29-08-2023,325.559998,332.700012,324.679993,332.549988,324.812134,1831700
30-08-2023,330,331.910004,327.649994,328.579987,323.610565,1131500
31-08-2023,329.410004,330.48999,325.959991,327.709991,322.753723,1271100
01-09-2023,329.670013,331.619995,326.209991,327.399994,322.448425,1201400
05-09-2023,327.339996,328.480011,322.630005,323.75,318.853607,1846000
06-09-2023,322.309998,324.140015,319.309998,321.130005,316.273285,2120800
07-09-2023,320.619995,324.220001,320.130005,321.959991,317.090698,1471100
08-09-2023,321.920013,325.970001,321.660004,325.519989,320.596863,2026400
11-09-2023,328.26001,330.149994,324.290009,324.649994,319.73999,1283100
12-09-2023,324.01001,335.279999,324,330.899994,325.895477,2054700
13-09-2023,333.5,337.01001,330.820007,334.980011,329.913788,2165000
14-09-2023,339,345.119995,336.850006,344.570007,339.358765,2822700
15-09-2023,345.149994,346.190002,341.859985,342.540009,337.359467,3058800
18-09-2023,342.540009,344.26001,339.269989,343.320007,338.127655,1356600
19-09-2023,343.459991,344.970001,337.970001,341.890015,336.719299,1660200
20-09-2023,342.609985,343.799988,336.290009,336.700012,331.607788,1224400
21-09-2023,334.5,334.690002,330.079987,330.23999,325.245453,1685100
